organisation_name,campus_name,service_name,region_name,email,phone,website,notes,expected_wait_time,opening_hours_24_7,opening_hours_standard,opening_hours_extended,op_hours_extended_details,address,suburb,state,postcode,cost,delivery_method,level_of_care,referral_pathway,service_type,target_population,workforce_type
Head to Health,Online,Phoneline,Statewide,https://www.headtohealth.gov.au/,1800 595 212,https://www.headtohealth.gov.au/,,No timeframe,No,Yes,No,,"Multiple locations across , none within North Western Melbourne or East Melbourne.",,,,Free,Online,"Low intensity, Self management",Free call,"Mental health promotion, Mental illness prevention","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",
Head to Health,Online,Website,Statewide,https://www.headtohealth.gov.au/,1800 595 212,https://www.headtohealth.gov.au/,,No timeframe,No,Yes,No,,"Multiple locations across , none within North Western Melbourne or East Melbourne.",,,,Free,Online,Self management,,"Mental health promotion, Mental illness prevention","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",
Healing Minds Psychology,Coburg,Counselling Services,North Western Melbourne,info@healingmindspsychology.com.au,1300 732 725,Healing Minds Psychology,,Not applicable,No,Yes,No,Open until 7pm Monday- Friday,158 Bell St,Coburg,VIC,3058,Paid,In person,"High intensity, Low intensity, Moderate intensity",Doctor/GP referral,"Mental health promotion, Mental illness prevention, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People","Peer worker, Tertiary qualified, Vocationally qualified"
Healing Minds Psychology,Glenroy,Counselling Services,North Western Melbourne,info@healingmindspsychology.com.au,1300 732 725,Healing Minds Psychology,,Not applicable,No,Yes,Yes,"9-7 M - F, 9-5 Saturdays",165 Hilton Street,Glenroy,VIC,3046,Paid,In person,"High intensity, Low intensity, Moderate intensity",Doctor/GP referral,"Mental health promotion, Mental illness prevention, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People","Peer worker, Tertiary qualified, Vocationally qualified"
Healing Minds Psychology,Moonee Ponds,Counselling Services,North Western Melbourne,info@healingmindspsychology.com.au,1300 732 725,Healing Minds Psychology,,Not applicable,No,No,No,By appointment only,835 Mt Alexander Rd,Moonee Ponds,VIC,3039,Paid,In person,"High intensity, Low intensity, Moderate intensity",Doctor/GP referral,"Mental health promotion, Mental illness prevention, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People","Peer worker, Tertiary qualified, Vocationally qualified"
Healing Minds Psychology,Oak Park,Counselling Services,North Western Melbourne,info@healingmindspsychology.com.au,1300 732 725,Healing Minds Psychology,,Not applicable,No,Yes,No,,78 Winifred St,Oak Park,VIC,3046,Paid,In person,"High intensity, Low intensity, Moderate intensity",Doctor/GP referral,"Mental health promotion, Mental illness prevention, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People","Peer worker, Tertiary qualified, Vocationally qualified"
Healing Minds Psychology,West Melbourne,Counselling Services,North Western Melbourne,info@healingmindspsychology.com.au,1300 732 725,Healing Minds Psychology,,Not applicable,No,No,No,By appointment only,67 Rosslyn St,West Melbourne,VIC,3003,Paid,In person,"High intensity, Low intensity, Moderate intensity",Doctor/GP referral,"Mental health promotion, Mental illness prevention, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People","Peer worker, Tertiary qualified, Vocationally qualified"
Healthy Minds,Niddrie,Psychological and Behavioural Support Services,North Western Melbourne,info@healthyminds.net.au,(03) 9330 0759,Counselling Services | Healthy Minds,,Not applicable,No,Yes,Yes,9-6 weekdays and 8-1 saturdays,Shop 2/294 Keilor Rd,Essendon North,VIC,3041,Paid,In person,"High intensity, Low intensity, Moderate intensity",,"Mental health promotion, Mental illness prevention, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",Tertiary qualified
Healthy Minds,Point Cook,Psychological and Behavioural Support Services,North Western Melbourne,info@healthyminds.net.au,(03) 9330 0759,Counselling Services | Healthy Minds,,Not applicable,No,Yes,Yes,Open until 6 on weekdays and 9-4 on weekends,1/11 Dunnings Rd,Point Cook,VIC,3030,Paid,In person,"High intensity, Low intensity, Moderate intensity",,"Mental health promotion, Mental illness prevention, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",Tertiary qualified
Healthy Minds,Preston,Psychological and Behavioural Support Services,North Western Melbourne,info@healthyminds.net.au,(03) 9330 0759,Counselling Services | Healthy Minds,,Not applicable,No,Yes,Yes,9am-7pm weekdays,Unit 1/294-296 High St,Preston,VIC,3072,Paid,In person,"High intensity, Low intensity, Moderate intensity",,"Mental health promotion, Mental illness prevention, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",Tertiary qualified
Healthy Minds,St Albans,Psychological and Behavioural Support Services,North Western Melbourne,info@healthyminds.net.au,(03) 9330 0759,Counselling Services | Healthy Minds,,Not applicable,No,Yes,No,,332 Main Rd E,St Albans,VIC,3021,Paid,In person,"High intensity, Low intensity, Moderate intensity",,"Mental health promotion, Mental illness prevention, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",Tertiary qualified
Independence Australia,West Footscray,Disability Counselling & Psychology service,"Greater Melbourne, North Western Melbourne",psychology@independenceaustralia.com,1300 704 456,https://www.independenceaustralia.com.au/counselling-psychology/,,Yes (but no timeframe),No,Yes,No,,1/9 Ashley St,West Footscray,VIC,3012,"Free, Paid","In person, Online","High intensity, Low intensity, Moderate intensity","Doctor/GP referral, General bookings",Primary and specialised clinical ambulatory mental health care services,Specialised Services,Tertiary qualified
In Dialogue,Brunswick,Cognitive Analytic Therapy (CAT),North Western Melbourne,admin@indialogue.com.au,9191 6726,www.indialogue.com.au,,Not applicable,No,Yes,Yes,"Standard hours Monday, Wednesday and Friday, extended until 7:30pm Tuesday and 8pm Thursdays",636 Sydney Rd,Brunswick,VIC,3056,Paid,In person,"Low intensity, Moderate intensity, Self management",General bookings,"Mental health promotion, Primary and specialised clinical ambulatory mental health care services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",Tertiary qualified
Inpsyte Psychology,Blackburn South,Inpsyte Psychology,Greater Melbourne,enquiry@inpsytepsychology.com,03 9572 2211,https://inpsytepsychology.com/,,No timeframe,No,Yes,Yes,Inpsyte Psychology offers after school and after work appointments to accommodate your lifestyle.,142 Middleborough Rd,Blackburn South,VIC,3130,Paid,"In person, Online","Low intensity, Moderate intensity",General bookings,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Adult, Children, Young People",Tertiary qualified
Inspire Health & Medical,Croydon,Inspire Health & Medical,Statewide,info@inspirehm.com.au,"Lilydale: 1300 947 477 , Mitchham: 1300 947 477 , Croydon: 1300 947 477",https://www.inspirehm.com.au/counsellors/,,No timeframe,No,Yes,No,,"Lilydale: 28A Hardy St, Lilydale VIC 3140 , Mitcham: 2/339 Mitcham Rd, Mitcham VIC 3132 , Croydon: 3/19 Lacey St",Croydon,VIC,3136,Paid,"In person, Online","Low intensity, Moderate intensity","Free call, General bookings","Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People","Tertiary qualified, Vocationally qualified"
Inspire Health & Medical,Lilydale,Inspire Health & Medical,Statewide,info@inspirehm.com.au,"Lilydale: 1300 947 477 , Mitchham: 1300 947 477 , Croydon: 1300 947 477",https://www.inspirehm.com.au/counsellors/,,No timeframe,No,Yes,No,,"Lilydale: 28A Hardy St, Lilydale VIC 3140 , Mitcham: 2/339 Mitcham Rd, Mitcham VIC 3132 , Croydon: 3/19 Lacey St",Croydon,VIC,3136,Paid,"In person, Online","Low intensity, Moderate intensity","Free call, General bookings","Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People","Tertiary qualified, Vocationally qualified"
Inspire Health & Medical,Mitcham,Inspire Health & Medical,Statewide,info@inspirehm.com.au,"Lilydale: 1300 947 477 , Mitchham: 1300 947 477 , Croydon: 1300 947 477",https://www.inspirehm.com.au/counsellors/,,No timeframe,No,Yes,No,,"Lilydale: 28A Hardy St, Lilydale VIC 3140 , Mitcham: 2/339 Mitcham Rd, Mitcham VIC 3132 , Croydon: 3/19 Lacey St",Croydon,VIC,3136,Paid,"In person, Online","Low intensity, Moderate intensity","Free call, General bookings","Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People","Tertiary qualified, Vocationally qualified"
Integrative Psychology,East Melbourne,Integrative Psychology,Statewide,info@integrativepsychology.net.au,(03) 9663 0355,https://integrativepsychology.net.au/,,Not applicable,No,Yes,No,,"Level 2, 182-184 Victoria Parade",East Melbourne,VIC,3002,Paid,In person,"High intensity, Moderate intensity, Specialist",,"Medications and procedures, Mental health promotion, Primary and specialised clinical ambulatory mental health care services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People","Medical, Tertiary qualified"
inTouch,Confidential,Muliticultural Centre Against Family Violence,Statewide,intake@intouch.org.au,1800 755 988,https://intouch.org.au/,,Not applicable,No,Yes,No,,Confidential Address MELBOURNE VIC 3000,,,,Free,"In person, Online","Low intensity, Self management",Free call,"Mental health promotion, Specialised mental health community support services",Culturally and Linguistically Diverse,"Peer worker, Tertiary qualified"
IPC,IPC Deer Park GP Clinic,Counselling,North Western Melbourne,ipchealth@ipchealth.com.au,1300 472 432,https://www.ipchealth.com.au/appointments/,,Yes (but no timeframe),No,Yes,Yes,"Deer Park GP Clinic
Monday 8:30am – 7:30pm

Tuesday to Friday 8:30am – 5:30pm

Saturday 9:00am – 11:00am

Please call 1300 472 432 for an appointment or book online.",106 Station Road,Deer Park,VIC,3023,"Free, Paid","In person, Online, Outreach","Low intensity, Moderate intensity",,"Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",Medical
